id,title,description,duration,difficulty,learning_path_id
1,Ultimate Investment Banking Course,Learn the basics of Node.js,1.5,Beginner,6
2,Complete GST Course & Certification - Grow Your CA Practice,Learn the fundamentals of JavaScript programming.,39,Beginner,17
3,Financial Modeling for Business Analysts and Consultants,Explore advanced CSS for modern web design.,2.5,Intermediate,2
4,Beginner to Pro - Financial Analysis in Excel 2017,"Learn the basics of html
",3,Beginner,20
5,How To Maximize Your Profits Trading Options,Learn basics of react,2,Intermediate,2
6,Trading Penny Stocks: A Guide for All Levels In 2017,Learn the concept of nextjs,3,Beginner,1
7,Investing And Trading For Beginners: Mastering Price Charts,Learn the ETL process effectively,1,Beginner,6
8,"Trading Stock Chart Patterns For Immediate, Explosive Gains",Learn the concepts of DataBricks,2.5,Beginner,18
9,Options Trading 3 : Advanced Stock Profit and Success Method,Learn the process of data Transformation through dbt,2.5,Advanced,13
10,The Only Investment Strategy You Need For Your Retirement,Learn python for data engineering,1,Beginner,7
11,Forex Trading Secrets of the Pros With Amazon's AWS,Learn statistics,5,Beginner,18
12,Trading Options With Money Flow,Learn the basics of Node.js,1,Beginner,7
13,Financial Management Risk and Return For Securities,Learn the fundamentals of JavaScript programming.,1.5,Beginner,7
14,Forex Trading Course: Work Smarter Not Harder Proven Results,Explore advanced CSS for modern web design.,2,Beginner,18
15,Python Algo Trading: Sentiment Trading with News,"Learn the basics of html
",7,Beginner,16
16,Short Selling: Learn To Sell Stocks Before The Fall,Learn basics of react,1.5,Intermediate,12
17,Basic Technical Analysis: Learn the structure of the market,Learn the concept of nextjs,1.5,Beginner,16
18,The Complete Chart Pattern Trading Course: A Proven Approach,Learn the ETL process effectively,4,Beginner,6
19,7 Deadly Mistakes of Investing that Will Slash Your Profits!,Learn the concepts of DataBricks,1.5,Beginner,10
20,Financial Statements Made Easy,Learn the process of data Transformation through dbt,0.583333333,Beginner,12
21,Winning Forex Trading with Live Forex Trading Examples,Learn python for data engineering,2,Beginner,17
22,Forex Traders - Create Your First Trading Robot. No Coding!,Learn statistics,4,Beginner,14
23,Create A Business From Home Trading Stocks Today In 2017,Learn the basics of Node.js,2,Beginner,20
24,Introduction to Accounting : Mastering Financial Statements,Learn the fundamentals of JavaScript programming.,1,Beginner,2
25,The Complete Ethereum Course: Get .01 Ether In Your Wallet,Explore advanced CSS for modern web design.,2,Beginner,4
26,Beginner to Pro in PowerPoint: Complete PowerPoint Training,"Learn the basics of html
",5,Beginner,17
27,Investing 101: The Complete Online Investing Course,Learn basics of react,4.5,Beginner,9
28,Create Your Own Hedge Fund: Trade Stocks Like A Fund Manager,Learn the concept of nextjs,2,Intermediate,13
29,Learn MQL5: Build an 8-Currency Hedging Robot (MetaTrader 5),Learn the ETL process effectively,4.5,Beginner,18
30,Forex Trading: Your Complete Guide to Get Started Like a Pro,Learn the concepts of DataBricks,3,Beginner,12
31,Python Algo Stock Trading: Automate Your Trading!,Learn the process of data Transformation through dbt,2.5,Beginner,11
32,THE Forex Robot: Incredible ROI (Robot Included),Learn python for data engineering,1.5,Beginner,7
33,The Complete Bitcoin Course: Get .001 Bitcoin In Your Wallet,Learn statistics,6.5,Beginner,15
34,Mastering High Probability Iron Condor Options Trading,Learn the basics of Node.js,2,Beginner,6
35,The Complete Short Course on Ethereum,Learn the fundamentals of JavaScript programming.,1.5,Beginner,7
36,Options Trading Stocks: Proven Toolbox For Financial Success,Explore advanced CSS for modern web design.,10,Intermediate,4
37,Forex Trading A-Z™ - With LIVE Examples of Forex Trading,"Learn the basics of html
",5.5,Beginner,4
38,"Introduction to Finance, Accounting, Modeling and Valuation",Learn basics of react,4.5,Beginner,13
39,Beginner to Pro in Excel: Financial Modeling and Valuation,Learn the concept of nextjs,7.5,Beginner,16
40,The Complete Investment Banking Course 2017,Learn the ETL process effectively,5.5,Beginner,7
41,The Complete Financial Analyst Course 2017,Learn the concepts of DataBricks,10,Beginner,12
42,Python for Finance: Investment Fundamentals & Data Analytics,Learn the process of data Transformation through dbt,6.5,Beginner,16
43,Financial Modeling for Startups & Small Businesses,Learn python for data engineering,11.5,Beginner,12
44,Options Trading - How to Win with Weekly Options,Learn statistics,1,Intermediate,16
45,Black Algo Trading: Build Your Trading Robot,Learn the basics of Node.js,16,Beginner,2
46,Accounting & Financial Statement Analysis: Complete Training,Learn the fundamentals of JavaScript programming.,3,Beginner,6
47,Cryptocurrency Trading: Complete Guide To Trading Altcoins,Explore advanced CSS for modern web design.,5,Beginner,7
48,Forex Robots: Expect To Earn 175% P.A. Forex Robot Included!,"Learn the basics of html
",5.5,Beginner,15
49,Three Steps Trading - Live Trading - Real Account,Learn basics of react,5,Beginner,4
50,Option Trading for Rookies:  Understand Options Completely,Learn the concept of nextjs,2,Beginner,14
51,How I Learned Stock Trading (and How You Can Too),Learn the ETL process effectively,2,Advanced,6
52,Learn to Trade for Profit: Find and Trade Winning Stocks,Learn the concepts of DataBricks,3,Beginner,9
53,Trading Inside Bars - Master 1 Easy Pattern To Be Successful,Learn the process of data Transformation through dbt,2,Intermediate,9
54,Four Fundamentals of Financial Planning,Learn python for data engineering,1,Beginner,15
55,Options Trading - Calendar Spread Course for Every Trader,Learn statistics,1.5,Beginner,17
56,Dividend Investing: Build Your Portfolio for a Better Future,Learn the basics of Node.js,4,Beginner,7
57,Learn Accounting. Understand Business.,Learn the fundamentals of JavaScript programming.,5.5,Beginner,1
58,How to Consistently Win Trading Stocks in 30 Days or Less,Explore advanced CSS for modern web design.,1,Intermediate,1
59,A Beginner's Guide to Quantopian Futures API,"Learn the basics of html
",1.5,Intermediate,3
60,How to Buy Cheap Options - Options Trading Pricing Model,Learn basics of react,1,Beginner,18
61,Excel Crash Course: Master Excel for Financial Analysis,Learn the concept of nextjs,3.5,Beginner,1
62,"Comprehensive Guide to Financial Markets, Investing &Trading",Learn the ETL process effectively,9,Beginner,15
63,Stock Trading Ninja: Complete System For Trading Success,Learn the concepts of DataBricks,4.5,Beginner,19
64,Hedge and Mutual Fund Careers: The Complete Guide,Learn the process of data Transformation through dbt,8.5,Beginner,2
65,Algorithmic Trading In Forex: Create Your First Forex Robot!,Learn python for data engineering,6.5,Beginner,20
66,The Power Modeling Bootcamp: Advanced Excel in 10 Days,Learn statistics,5.5,Beginner,12
67,Options Trading Basics (3-Course Bundle),Learn the basics of Node.js,11,Beginner,8
68,How to Win 97% of Your Options Trades,Learn the fundamentals of JavaScript programming.,1.5,Beginner,19
69,How I Make Consistent Returns Trading Options,Explore advanced CSS for modern web design.,3.5,Beginner,2
70,"Forex Strategies: Kelly Criterion, Larry Williams and more!","Learn the basics of html
",3,Beginner,8
71,"Elite Trend Trader: Learn To Trade Stocks, Options & Forex",Learn basics of react,5,Beginner,12
