id,userId,courseId,enrollmentDate,completionPercentage,completionDate
1,16,2838,2024-04-21,46,
2,271,277,2024-05-01,87,
3,334,141,2023-12-21,36,
4,353,1293,2023-12-03,27,
5,401,3620,2024-07-12,4,
6,157,339,2023-11-16,100,2024-01-21
7,71,3383,2024-02-12,55,
8,28,2782,2024-02-23,38,
9,339,3183,2024-05-29,67,
10,289,1573,2023-11-25,86,
11,90,459,2024-06-30,94,
12,355,2395,2024-04-20,12,
13,361,1571,2023-11-29,81,
14,337,455,2023-11-01,62,
15,309,2898,2024-09-02,56,
16,364,3541,2023-12-14,80,
17,343,1886,2023-11-05,44,
18,323,2036,2023-10-19,78,
19,415,331,2024-05-14,46,
20,108,1505,2023-10-10,33,
21,86,1751,2024-03-01,63,
22,42,2253,2023-12-19,92,
23,189,1692,2024-07-31,22,
24,409,2017,2024-06-19,91,
25,157,1629,2024-01-27,8,
26,277,1530,2024-03-20,45,
27,10,3141,2023-12-30,17,
28,363,2050,2024-07-17,24,
29,366,1539,2023-11-09,61,
30,198,1816,2024-02-11,100,2024-03-22
31,251,3511,2023-11-09,41,
32,30,1468,2024-01-27,56,
33,177,3434,2023-12-26,75,
34,415,1991,2024-03-02,96,
35,210,3432,2023-11-27,76,
36,150,2118,2024-03-12,87,
37,478,2060,2024-02-27,13,
38,190,3223,2024-04-09,61,
39,298,3431,2024-06-05,86,
40,88,707,2024-02-23,31,
41,311,2403,2024-08-13,89,
42,108,215,2023-12-13,46,
43,344,238,2023-12-30,26,
44,292,1071,2023-12-12,84,
45,207,1395,2024-03-05,24,
46,82,2375,2024-08-09,84,
47,179,2422,2024-08-19,0,
48,46,1091,2024-08-12,41,
49,212,2112,2024-01-18,62,
50,334,2017,2023-11-23,86,
51,35,1959,2024-07-02,95,
52,45,1695,2024-05-30,81,
53,329,897,2024-05-23,0,
54,487,1083,2024-08-17,38,
55,295,2158,2024-08-10,87,
56,363,1058,2024-02-25,2,
57,450,130,2024-08-06,31,
58,299,1966,2024-03-12,29,
59,476,1419,2024-09-08,100,2024-11-30
60,138,1610,2023-11-12,4,
61,218,991,2024-06-06,52,
62,310,1278,2024-01-20,33,
63,165,3082,2024-04-19,84,
64,391,2832,2024-08-13,4,
65,139,844,2024-09-07,11,
66,214,3404,2024-09-02,37,
67,428,1777,2024-08-03,55,
68,205,2578,2023-11-28,73,
69,165,1245,2023-10-31,26,
70,445,198,2023-12-01,15,
71,132,2706,2024-05-23,87,
72,297,1915,2023-11-01,37,
73,262,1383,2023-10-31,82,
74,422,2473,2023-10-28,38,
75,390,1344,2024-04-08,96,
76,29,3094,2024-07-08,11,
77,225,2000,2024-05-15,40,
78,108,2616,2024-04-15,2,
79,182,6,2024-05-25,25,
80,254,919,2024-03-13,69,
81,74,2539,2024-08-20,99,
82,326,2750,2024-05-17,21,
83,322,1022,2024-06-04,16,
84,380,2338,2024-08-21,76,
85,50,3578,2024-07-14,59,
86,395,879,2024-06-30,86,
87,318,1600,2024-07-17,20,
88,121,2470,2024-05-27,25,
89,139,662,2024-02-25,94,
90,50,2062,2024-05-24,90,
91,390,1579,2024-02-12,64,
92,305,2115,2023-10-30,65,
93,355,3114,2024-06-08,11,
94,433,3014,2023-10-19,75,
95,350,919,2024-02-17,67,
96,327,1935,2024-01-20,24,
97,441,470,2023-10-30,34,
98,474,1756,2024-01-05,43,
99,229,1003,2023-12-21,77,
100,457,1805,2023-11-30,34,
101,415,740,2024-01-09,81,
102,417,2559,2024-07-12,10,
103,438,1432,2024-01-01,47,
104,40,1065,2024-04-26,0,
105,19,3102,2024-02-17,82,
106,261,892,2024-02-05,36,
107,493,1335,2024-06-06,100,2024-07-31
108,472,3018,2024-03-24,46,
109,415,1443,2024-03-29,65,
110,339,3341,2024-03-25,36,
111,443,1319,2024-03-19,21,
112,139,3628,2024-02-21,3,
113,250,453,2024-01-10,93,
114,485,562,2023-10-24,4,
115,305,2785,2024-05-11,10,
116,127,1918,2024-08-16,53,
117,432,568,2023-11-09,80,
118,329,198,2024-01-05,74,
119,239,674,2024-01-20,90,
120,102,578,2023-12-26,15,
121,314,1446,2023-11-26,72,
122,492,3004,2024-04-12,30,
123,232,3298,2023-11-29,74,
124,340,1032,2023-10-12,36,
125,304,1711,2024-03-11,79,
126,305,1298,2024-01-17,71,
127,1,2753,2023-11-03,93,
128,17,1437,2024-08-22,9,
129,82,1137,2024-04-14,16,
130,58,1600,2024-03-16,45,
131,436,2731,2023-10-18,27,
132,373,154,2023-12-29,50,
133,107,3136,2024-03-24,66,
134,488,678,2024-05-29,38,
135,482,3451,2024-08-12,48,
136,172,2916,2024-06-25,82,
137,287,2912,2024-07-14,18,
138,487,1166,2024-06-09,9,
139,413,915,2024-01-01,37,
140,196,1226,2023-12-13,53,
141,40,3216,2023-11-06,52,
142,83,2900,2024-05-20,50,
143,479,3588,2024-03-08,26,
144,143,27,2024-07-09,96,
145,69,496,2024-04-18,49,
146,185,1651,2024-04-15,70,
147,398,3315,2023-12-19,4,
148,452,2933,2023-11-23,40,
149,289,2262,2023-10-20,12,
150,174,611,2024-07-20,8,
151,320,2407,2024-06-06,93,
152,352,2728,2023-12-17,82,
153,306,1092,2024-07-16,18,
154,23,2522,2024-08-20,9,
155,398,2318,2024-08-14,56,
156,27,2865,2024-04-28,61,
157,84,9,2024-08-26,51,
158,447,332,2024-07-25,35,
159,210,1215,2024-05-12,83,
160,422,2644,2024-06-04,44,
161,415,1796,2024-01-11,24,
162,14,213,2024-01-28,11,
163,123,160,2024-07-05,15,
164,311,1863,2024-06-22,67,
165,14,3544,2024-06-21,5,
166,378,498,2024-08-15,65,
167,116,2481,2023-12-04,50,
168,58,2311,2024-08-29,12,
169,129,700,2024-06-09,52,
170,138,2980,2024-05-21,50,
171,87,13,2024-04-01,42,
172,295,3667,2024-01-13,14,
173,50,3246,2024-01-02,36,
174,56,3315,2024-07-12,87,
175,11,734,2024-04-05,46,
176,377,2895,2024-06-17,72,
177,59,29,2024-05-16,13,
178,390,880,2023-10-21,35,
179,354,2836,2024-01-31,25,
180,471,1117,2024-01-06,5,
181,434,153,2023-11-01,100,2024-01-12
182,187,2338,2024-06-19,10,
183,39,692,2023-10-15,51,
