id,userId,courseId,enrollmentDate,completionPercentage,completionDate
1,467,2367,2024-08-28,97,None
2,64,1306,2023-12-21,77,None
3,76,950,2024-08-21,13,None
4,305,2803,2023-12-04,11,None
5,387,3558,2024-07-06,61,None
6,464,3480,2024-03-07,24,None
7,392,2096,2024-02-16,89,None
8,490,172,2024-06-17,3,None
9,381,3640,2023-12-30,35,None
10,173,2762,2023-11-30,40,None
11,269,473,2024-01-12,29,None
12,439,840,2024-04-13,98,None
13,25,1495,2024-05-12,45,None
14,54,2479,2024-02-05,7,None
15,28,1685,2024-05-15,73,None
16,149,3631,2024-05-20,55,None
17,281,2416,2023-12-15,64,None
18,278,1562,2024-03-17,17,None
19,48,1407,2023-11-20,58,None
20,391,2376,2023-11-18,4,None
21,464,432,2023-11-25,0,None
22,331,3333,2024-08-31,27,None
23,286,1494,2023-12-21,23,None
24,101,808,2024-03-14,64,None
25,181,266,2024-01-16,73,None
26,123,141,2024-04-01,13,None
27,121,3613,2024-07-26,42,None
28,365,2662,2024-01-01,19,None
29,345,2507,2024-05-01,19,None
30,451,3235,2024-05-11,2,None
31,284,3200,2024-04-08,77,None
32,265,157,2024-08-04,63,None
33,66,975,2024-01-30,24,None
34,274,342,2024-08-16,30,None
35,277,3506,2024-03-01,89,None
36,224,541,2024-05-18,75,None
37,280,90,2024-09-02,1,None
38,353,2072,2024-03-11,16,None
39,229,606,2024-04-21,74,None
40,453,3234,2024-03-19,99,None
41,29,3374,2024-01-27,15,None
42,131,349,2024-01-05,78,None
43,78,500,2024-05-18,48,None
44,499,506,2024-04-14,41,None
45,226,3112,2024-04-01,69,None
46,68,613,2024-06-01,46,None
47,162,1678,2023-12-24,95,None
48,225,605,2024-05-04,59,None
49,493,640,2024-05-02,87,None
50,101,2260,2024-06-04,65,None
51,412,1704,2024-08-28,1,None
52,151,1429,2024-07-04,19,None
53,17,2601,2023-10-29,37,None
54,173,2397,2024-02-08,65,None
55,10,1504,2023-11-24,70,None
56,227,2359,2024-06-29,3,None
57,239,2880,2024-07-26,95,None
58,439,2689,2024-02-25,26,None
59,193,2284,2023-11-25,91,None
60,42,1023,2024-05-02,52,None
61,462,1705,2024-06-28,20,None
62,500,2037,2024-01-05,69,None
63,119,2402,2024-06-05,17,None
64,97,2949,2024-04-28,51,None
65,199,1801,2023-11-21,31,None
66,488,854,2024-05-25,86,None
67,400,2837,2024-04-25,1,None
68,75,2322,2023-10-19,33,None
69,150,1430,2024-01-28,57,None
70,452,2181,2023-11-01,83,None
71,345,339,2024-03-17,63,None
72,25,2338,2024-07-13,62,None
73,73,1536,2024-04-07,77,None
74,124,2816,2024-09-05,29,None
75,235,2824,2024-01-07,56,None
76,318,3247,2024-04-22,48,None
77,300,2678,2024-01-09,83,None
78,237,763,2024-07-29,93,None
79,204,165,2023-10-25,31,None
80,314,2876,2023-11-04,36,None
81,119,2652,2024-07-23,19,None
82,109,1457,2024-06-25,84,None
83,482,1777,2024-06-15,94,None
84,230,981,2024-06-25,65,None
85,434,298,2024-05-01,80,None
86,204,2799,2024-08-14,90,None
87,433,2161,2024-03-09,44,None
88,266,1884,2023-10-17,56,None
89,292,2253,2024-01-09,49,None
90,459,3572,2024-01-11,58,None
91,478,25,2023-11-03,63,None
92,365,844,2024-08-05,55,None
93,482,1665,2024-08-08,89,None
94,419,988,2024-03-25,94,None
95,477,5,2024-02-01,78,None
96,73,1828,2023-10-22,62,None
97,355,3674,2024-06-14,57,None
98,405,826,2023-12-24,46,None
99,175,272,2023-10-18,26,None
100,278,1167,2023-12-09,45,None
101,86,1549,2024-08-18,35,None
102,119,3450,2024-06-16,91,None
103,155,3332,2024-07-23,9,None
104,325,2197,2024-03-31,97,None
105,363,963,2024-04-07,69,None
106,435,1689,2024-01-05,57,None
107,14,3526,2024-08-22,73,None
108,281,829,2024-08-28,68,None
109,308,1305,2024-06-12,46,None
110,262,3254,2024-05-15,29,None
111,12,2221,2024-04-14,8,None
112,464,1610,2023-12-19,83,None
113,275,93,2024-01-17,35,None
114,115,267,2023-11-12,96,None
115,21,309,2024-03-08,2,None
116,119,415,2024-03-18,30,None
117,204,645,2024-08-23,5,None
118,106,2698,2024-02-27,70,None
119,51,2904,2024-07-25,20,None
120,269,3237,2024-05-01,54,None
121,115,2409,2024-01-25,6,None
122,485,2435,2024-04-27,1,None
123,292,2981,2024-07-20,45,None
124,415,25,2023-11-24,27,None
125,161,2596,2024-06-20,20,None
126,286,386,2024-05-29,72,None
127,32,3430,2023-11-29,73,None
128,181,1759,2024-05-18,39,None
129,404,1602,2024-08-21,72,None
130,182,2860,2024-06-11,75,None
131,145,3124,2023-11-09,66,None
132,93,2196,2024-03-18,93,None
133,208,852,2023-10-19,54,None
134,236,3511,2023-11-09,51,None
135,357,2908,2023-10-12,45,None
136,339,1952,2024-05-21,12,None
137,228,277,2024-02-07,33,None
138,205,1518,2024-03-13,56,None
139,84,3211,2024-03-15,8,None
140,349,2960,2024-01-13,63,None
141,26,2466,2024-09-03,15,None
142,291,1142,2023-11-12,94,None
143,129,2981,2024-06-03,8,None
