id,userId,courseId,enrollmentDate,completionPercentage,completionDate
1,467,2367,2024-08-28,97,
2,64,1306,2023-12-21,77,
3,76,950,2024-08-21,13,
4,305,2803,2023-12-04,11,
5,387,3558,2024-07-06,61,
6,464,3480,2024-03-07,24,
7,392,2096,2024-02-16,89,
8,490,172,2024-06-17,3,
9,381,3640,2023-12-30,35,
10,173,2762,2023-11-30,40,
11,269,473,2024-01-12,29,
12,439,840,2024-04-13,98,
13,25,1495,2024-05-12,45,
14,54,2479,2024-02-05,7,
15,28,1685,2024-05-15,73,
16,149,3631,2024-05-20,55,
17,281,2416,2023-12-15,64,
18,278,1562,2024-03-17,17,
19,48,1407,2023-11-20,58,
20,391,2376,2023-11-18,4,
21,464,432,2023-11-25,0,
22,331,3333,2024-08-31,27,
23,286,1494,2023-12-21,23,
24,101,808,2024-03-14,64,
25,181,266,2024-01-16,73,
26,123,141,2024-04-01,13,
27,121,3613,2024-07-26,42,
28,365,2662,2024-01-01,19,
29,345,2507,2024-05-01,19,
30,451,3235,2024-05-11,2,
31,284,3200,2024-04-08,77,
32,265,157,2024-08-04,63,
33,66,975,2024-01-30,24,
34,274,342,2024-08-16,30,
35,277,3506,2024-03-01,89,
36,224,541,2024-05-18,75,
37,280,90,2024-09-02,1,
38,353,2072,2024-03-11,16,
39,229,606,2024-04-21,74,
40,453,3234,2024-03-19,99,
41,29,3374,2024-01-27,15,
42,131,349,2024-01-05,78,
43,78,500,2024-05-18,48,
44,499,506,2024-04-14,41,
45,226,3112,2024-04-01,69,
46,68,613,2024-06-01,46,
47,162,1678,2023-12-24,95,
48,225,605,2024-05-04,59,
49,493,640,2024-05-02,87,
50,101,2260,2024-06-04,65,
51,412,1704,2024-08-28,1,
52,151,1429,2024-07-04,19,
53,17,2601,2023-10-29,37,
54,173,2397,2024-02-08,65,
55,10,1504,2023-11-24,70,
56,227,2359,2024-06-29,3,
57,239,2880,2024-07-26,95,
58,439,2689,2024-02-25,26,
59,193,2284,2023-11-25,91,
60,42,1023,2024-05-02,52,
61,462,1705,2024-06-28,20,
62,500,2037,2024-01-05,69,
63,119,2402,2024-06-05,17,
64,97,2949,2024-04-28,51,
65,199,1801,2023-11-21,31,
66,488,854,2024-05-25,86,
67,400,2837,2024-04-25,1,
68,75,2322,2023-10-19,33,
69,150,1430,2024-01-28,57,
70,452,2181,2023-11-01,83,
71,345,339,2024-03-17,63,
72,25,2338,2024-07-13,62,
73,73,1536,2024-04-07,77,
74,124,2816,2024-09-05,29,
75,235,2824,2024-01-07,56,
76,318,3247,2024-04-22,48,
77,300,2678,2024-01-09,83,
78,237,763,2024-07-29,93,
79,204,165,2023-10-25,31,
80,314,2876,2023-11-04,36,
81,119,2652,2024-07-23,19,
82,109,1457,2024-06-25,84,
83,482,1777,2024-06-15,94,
84,230,981,2024-06-25,65,
85,434,298,2024-05-01,80,
86,204,2799,2024-08-14,90,
87,433,2161,2024-03-09,44,
88,266,1884,2023-10-17,56,
89,292,2253,2024-01-09,49,
90,459,3572,2024-01-11,58,
91,478,25,2023-11-03,63,
92,365,844,2024-08-05,55,
93,482,1665,2024-08-08,89,
94,419,988,2024-03-25,94,
95,477,5,2024-02-01,78,
96,73,1828,2023-10-22,62,
97,355,3674,2024-06-14,57,
98,405,826,2023-12-24,46,
99,175,272,2023-10-18,26,
100,278,1167,2023-12-09,45,
101,86,1549,2024-08-18,35,
102,119,3450,2024-06-16,91,
103,155,3332,2024-07-23,9,
104,325,2197,2024-03-31,97,
105,363,963,2024-04-07,69,
106,435,1689,2024-01-05,57,
107,14,3526,2024-08-22,73,
108,281,829,2024-08-28,68,
109,308,1305,2024-06-12,46,
110,262,3254,2024-05-15,29,
111,12,2221,2024-04-14,8,
112,464,1610,2023-12-19,83,
113,275,93,2024-01-17,35,
114,115,267,2023-11-12,96,
115,21,309,2024-03-08,2,
116,119,415,2024-03-18,30,
117,204,645,2024-08-23,5,
118,106,2698,2024-02-27,70,
119,51,2904,2024-07-25,20,
120,269,3237,2024-05-01,54,
121,115,2409,2024-01-25,6,
122,485,2435,2024-04-27,1,
123,292,2981,2024-07-20,45,
124,415,25,2023-11-24,27,
125,161,2596,2024-06-20,20,
126,286,386,2024-05-29,72,
127,32,3430,2023-11-29,73,
128,181,1759,2024-05-18,39,
129,404,1602,2024-08-21,72,
130,182,2860,2024-06-11,75,
131,145,3124,2023-11-09,66,
132,93,2196,2024-03-18,93,
133,208,852,2023-10-19,54,
134,236,3511,2023-11-09,51,
135,357,2908,2023-10-12,45,
136,339,1952,2024-05-21,12,
137,228,277,2024-02-07,33,
138,205,1518,2024-03-13,56,
139,84,3211,2024-03-15,8,
140,349,2960,2024-01-13,63,
141,26,2466,2024-09-03,15,
142,291,1142,2023-11-12,94,
143,129,2981,2024-06-03,8,
144,386,1634,2024-01-08,9,
145,396,1611,2024-06-07,100,2024-07-07
146,363,1066,2024-04-22,26,
147,113,709,2023-12-16,37,
148,478,3389,2023-11-28,22,
149,407,2589,2023-10-13,92,
150,381,1755,2023-10-30,89,
151,403,474,2024-04-03,50,
152,63,2033,2024-04-04,97,
153,443,2011,2024-04-22,6,
154,442,3556,2024-06-07,50,
155,262,3351,2024-02-29,4,
156,181,800,2024-02-07,15,
157,475,644,2024-03-17,33,
158,186,2870,2024-05-06,38,
159,374,1459,2024-02-05,70,
160,37,2555,2024-07-19,61,
161,403,1794,2024-04-30,6,
162,457,2562,2024-03-03,61,
163,354,1661,2024-01-13,27,
164,248,1256,2024-05-04,80,
165,469,3611,2024-05-09,42,
166,331,729,2024-02-05,60,
167,50,2039,2024-03-22,68,
168,299,961,2024-07-12,89,
169,71,3451,2023-10-31,88,
170,362,2037,2024-05-26,12,
171,155,2938,2024-01-07,76,
172,490,2756,2024-06-22,80,
173,29,2352,2024-05-06,21,
174,99,1155,2023-12-28,38,
175,476,1441,2024-02-17,35,
176,355,2436,2024-02-12,13,
177,342,1150,2023-12-15,23,
178,428,2313,2024-07-22,30,
179,25,256,2023-10-23,55,
180,466,28,2024-04-20,42,
181,418,1440,2024-01-29,89,
182,38,246,2024-03-09,59,
183,185,3009,2024-03-31,37,
184,310,1148,2024-03-27,31,
185,431,3475,2024-01-04,46,
186,380,1151,2024-06-15,5,
187,417,1186,2024-01-29,91,
188,132,332,2024-08-19,52,
189,451,2966,2024-01-30,63,
190,197,1818,2024-05-16,74,
191,487,1004,2024-08-22,81,
192,70,1403,2024-04-26,64,
193,340,633,2024-05-26,51,
194,147,422,2023-11-28,24,
195,135,2821,2023-10-16,10,
196,199,2871,2024-09-08,20,
197,9,3483,2024-03-04,2,
198,496,2497,2023-10-11,48,
199,358,667,2024-05-18,4,
200,233,3259,2024-06-02,18,
201,105,661,2024-01-26,94,
202,299,1168,2024-06-18,31,
203,72,857,2023-10-14,43,
204,93,2818,2024-03-26,76,
205,77,3435,2023-11-24,31,
206,39,2045,2023-10-31,92,
207,128,2454,2023-12-01,97,
208,415,2370,2024-05-14,3,
209,133,1031,2023-10-11,56,
210,4,3116,2023-11-02,81,
211,318,1084,2023-11-25,55,
212,182,3662,2024-01-03,45,
213,269,2023,2024-06-14,88,
214,195,835,2024-07-23,47,
215,6,2455,2024-08-01,61,
216,34,1434,2023-11-02,3,
217,131,1208,2024-01-05,63,
218,372,2839,2023-10-22,12,
219,420,521,2024-08-02,30,
220,483,2461,2024-03-22,76,
221,43,67,2024-02-20,54,
222,418,2464,2024-02-22,75,
223,426,875,2024-04-10,23,
224,335,3493,2024-01-18,33,
225,377,1893,2023-11-09,3,
226,154,1721,2024-07-30,15,
227,144,2998,2023-10-22,93,
228,56,1449,2024-07-29,69,
229,459,2426,2024-06-02,40,
230,37,541,2023-12-06,60,
231,27,2991,2024-07-04,33,
232,432,1055,2024-07-06,82,
233,354,3134,2024-08-05,2,
234,75,1112,2024-02-25,21,
235,394,77,2024-01-23,34,
236,490,2631,2024-03-31,50,
237,329,1701,2024-01-17,55,
238,314,2565,2024-06-29,8,
239,266,802,2023-11-16,79,
240,106,774,2024-01-22,58,
241,203,1957,2024-07-27,32,
242,403,1420,2024-05-26,58,
243,52,804,2024-02-23,69,
244,146,410,2023-12-07,6,
245,125,2082,2024-05-02,32,
246,95,3240,2023-12-11,57,
247,343,1162,2023-12-19,49,
248,121,3211,2024-01-21,57,
249,366,928,2024-05-06,67,
250,200,1714,2024-04-14,60,
251,330,1189,2023-12-18,42,
252,463,2195,2023-10-28,65,
253,370,2576,2023-12-24,59,
254,301,1725,2023-11-15,27,
255,445,3039,2024-05-13,72,
256,436,234,2024-01-05,89,
257,381,1888,2023-11-02,59,
258,169,1422,2024-06-19,6,
259,6,3016,2023-12-22,37,
260,148,3132,2024-02-09,71,
261,426,1632,2023-10-15,81,
262,439,650,2024-06-15,8,
263,356,3512,2024-03-16,70,
264,396,1336,2024-01-04,97,
265,284,2953,2024-05-14,27,
266,438,1868,2024-01-11,76,
267,131,962,2024-03-28,14,
268,311,402,2024-01-18,100,2024-03-10
269,292,3354,2023-12-21,25,
270,80,3597,2024-03-27,92,
271,332,1507,2024-09-02,9,
272,168,3085,2024-02-12,56,
273,377,2932,2024-01-04,3,
274,480,3668,2023-10-15,95,
275,488,346,2024-03-20,47,
276,133,1383,2024-08-19,76,
277,298,289,2023-12-26,49,
278,282,2986,2024-05-14,2,
279,153,2259,2023-11-03,14,
280,478,890,2024-05-12,82,
281,463,2631,2024-07-20,99,
282,357,35,2024-02-28,56,
283,242,1107,2023-11-03,45,
284,235,2654,2023-12-21,15,
285,26,3219,2024-01-23,16,
286,476,596,2024-06-24,42,
287,431,509,2024-04-01,61,
288,302,2495,2024-02-08,37,
289,275,2205,2024-08-26,13,
290,228,3223,2024-03-17,70,
291,114,236,2023-10-14,80,
292,1,2920,2023-11-03,18,
293,272,2674,2024-03-22,90,
294,262,2656,2023-11-07,10,
295,236,1236,2023-11-14,52,
296,250,2943,2024-07-11,55,
297,471,1481,2024-02-12,44,
298,311,1447,2024-08-15,92,
299,174,1760,2024-01-16,88,
300,254,3307,2023-11-24,18,
301,77,1808,2024-05-27,80,
302,399,2664,2024-06-26,22,
303,126,3390,2024-08-14,84,
304,296,2429,2023-10-31,16,
305,228,2777,2024-05-07,31,
306,149,1485,2024-03-21,70,
307,301,2755,2024-05-24,40,
308,423,885,2024-01-24,25,
309,229,2828,2024-08-02,1,
310,376,2133,2024-04-19,0,
311,389,3520,2024-05-15,75,
312,113,3438,2024-03-22,93,
313,467,1416,2024-04-17,37,
314,140,1058,2024-04-14,61,
315,129,84,2024-03-19,58,
316,459,1002,2024-06-17,82,
317,42,3192,2024-05-25,5,
318,316,1838,2024-08-31,47,
319,156,3612,2024-07-17,39,
320,400,2711,2024-05-12,0,
321,22,2497,2023-10-19,67,
322,38,2641,2024-03-18,16,
323,56,3324,2023-10-13,89,
324,422,3296,2024-02-02,18,
325,151,2179,2023-10-23,2,
326,469,480,2024-01-25,6,
327,40,1904,2024-07-10,54,
328,56,655,2024-08-12,23,
329,112,3135,2023-10-27,18,
330,383,1485,2024-07-23,36,
331,282,3083,2024-01-17,90,
332,420,1125,2024-06-30,34,
333,238,2099,2023-12-24,81,
334,318,993,2024-02-04,38,
335,59,403,2024-01-19,35,
336,448,3069,2023-11-04,17,
337,356,397,2023-12-06,41,
338,82,770,2024-05-10,54,
339,62,2573,2024-06-05,88,
340,430,3464,2024-01-24,23,
341,347,3437,2023-10-30,40,
342,204,1957,2024-03-06,22,
343,83,563,2023-11-03,73,
344,323,2565,2023-10-10,3,
345,418,1686,2024-08-21,12,
346,464,814,2024-04-23,82,
347,229,2269,2024-04-18,42,
348,467,1603,2024-01-31,44,
349,319,1224,2023-11-07,57,
350,466,2797,2024-06-07,41,
351,192,416,2024-01-22,75,
352,493,2553,2024-04-16,43,
353,277,3458,2023-11-06,25,
354,96,134,2023-10-18,1,
355,269,3095,2023-12-09,41,
356,155,1715,2023-12-29,51,
357,204,3268,2024-01-09,42,
358,198,1572,2024-04-05,19,
359,490,1172,2023-11-18,81,
360,253,864,2024-04-22,94,
361,484,3087,2023-12-10,19,
362,225,2537,2024-02-29,38,
363,493,616,2024-02-12,87,
364,18,987,2024-07-15,7,
365,290,462,2024-07-31,35,
366,446,206,2024-03-26,2,
367,276,3008,2024-02-12,22,
368,464,1203,2024-02-08,24,
369,354,3442,2024-08-20,20,
370,325,3553,2023-12-31,66,
371,34,803,2024-08-17,69,
372,458,481,2023-11-14,30,
373,264,1145,2023-12-23,20,
374,340,519,2024-07-02,66,
375,155,172,2023-11-21,41,
376,265,2182,2024-04-21,2,
377,107,2026,2024-05-13,77,
378,494,3201,2024-05-12,73,
379,231,711,2024-06-30,55,
380,479,3111,2024-08-16,50,
381,248,3308,2024-06-28,12,
382,69,1835,2023-12-25,94,
383,185,23,2023-11-29,48,
384,489,2831,2023-12-27,89,
385,190,2119,2024-05-25,39,
386,36,1431,2024-03-03,51,
387,181,2292,2024-07-09,75,
388,254,2995,2024-02-29,9,
389,393,2882,2023-12-17,32,
390,388,2514,2024-03-07,69,
391,387,2565,2023-12-29,79,
392,40,3225,2023-11-12,62,
393,62,1532,2024-08-06,57,
394,324,193,2023-12-27,14,
395,258,252,2024-06-22,32,
396,282,679,2024-02-02,96,
397,319,1614,2023-10-25,100,2023-12-02
398,17,3603,2024-08-11,53,
399,438,3125,2024-01-09,97,
400,221,1731,2024-07-15,15,
401,427,3287,2024-08-30,16,
402,390,596,2023-12-03,6,
403,399,1948,2024-06-15,96,
404,247,2440,2024-04-19,51,
405,239,3621,2024-01-23,12,
406,58,2607,2024-06-22,1,
407,235,1152,2024-02-21,71,
408,237,3653,2024-08-23,23,
409,394,1591,2024-04-30,83,
410,478,3193,2023-10-10,17,
411,414,1083,2024-02-26,67,
412,296,1708,2024-02-14,20,
413,53,2468,2024-04-12,74,
414,497,3476,2024-08-03,59,
415,394,3287,2024-01-29,84,
416,239,2812,2024-07-23,55,
417,19,1962,2024-01-16,54,
418,426,1601,2024-03-30,33,
419,51,1117,2024-03-03,0,
420,101,761,2024-06-10,30,
421,178,603,2023-11-28,22,
422,4,3369,2024-01-19,32,
423,486,2782,2023-11-21,64,
424,22,1655,2024-08-02,97,
425,125,2926,2024-01-11,91,
426,117,87,2023-11-23,49,
427,217,3248,2024-03-09,26,
428,148,3421,2024-01-19,31,
